Year,Business Type,Business Name,address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#On Premises
2011,Restaurant,Ruby of Siam,170 w washington st ,False,False,BATTERY,2153,455,3
2011,Restaurant,Cardozo's Pub,170 w washington st ,True,False,BATTERY,2153,455,3
2011,Restaurant,Petterino's,150 n dearborn st ,False,False,BATTERY,2147,452,2
2011,Restaurant,Sixty Five Chinese Restaurant,201 w madison st ,False,False,THEFT,2145,256,2
2011,Restaurant,Dunkin' Donuts,201 w madison st ,False,False,THEFT,2145,256,2
2011,Restaurant,Protein Bar,221 w washington st ,False,False,BATTERY,2131,451,3
2011,Restaurant,Med Kitchen,219 w washington st ,False,False,BATTERY,2131,451,3
2011,Restaurant,Indian Express,120 n wells st ,False,False,BATTERY,2126,454,3
2011,Restaurant,Off the Tracks Grill,190 n wells st ,False,False,BATTERY,2126,454,3
2011,Restaurant,Sixty Five Chinese Restaurants,176 n wells st ,False,False,BATTERY,2126,454,3
2011,Restaurant,Bombay Wraps,122 n wells st ,False,False,BATTERY,2126,454,3
2011,Restaurant,Curried Loop,171 n wells st ,False,False,BATTERY,2126,454,3
2011,Restaurant,Pierogi Heaven,169 n wells st ,False,False,BATTERY,2126,454,3
2011,Restaurant,Potbelly Sandwich Works,303 w madison st ,False,False,THEFT,2104,254,2
2011,Restaurant,Tokyo Lunch Boxes & Catering,111 e wacker dr ,False,False,THEFT,2092,77,5
2011,Restaurant,Harry's Sandwich Shop,336 s dearborn st ,False,False,BATTERY,2070,466,4
2011,Restaurant,Harry's Sandwich Shop,336 s dearborn st ,False,False,THEFT,2069,161,7
2011,Restaurant,Heaven On Seven On Wabash,111 n wabash ave ,False,False,BATTERY,2060,434,4
2011,Restaurant,Boston Blackies,120 s riverside plz ,False,False,THEFT,2060,239,1
2011,Restaurant,Marcello's Market & Deli,155 n wacker dr ,False,False,THEFT,2040,198,8
2011,Restaurant,Sushi Sai,123 n wacker dr ,False,False,THEFT,2040,198,8
2011,Restaurant,Specialty's Cafe & Bakery,191 n wacker dr ,False,False,THEFT,2040,198,8
2011,Restaurant,Marcello's Market & Deli,155 n wacker dr ,False,False,BATTERY,1983,412,4
2011,Restaurant,Sushi Sai,123 n wacker dr ,False,False,BATTERY,1983,412,4
2011,Restaurant,Specialty's Cafe & Bakery,191 n wacker dr ,False,False,BATTERY,1983,412,4
2011,Restaurant,Americana Submarine,400 s clark st ,True,False,NARCOTICS,1980,1978,1
2011,Restaurant,Coco's Famous Deep Fried Lobster,426 s clark st ,False,False,NARCOTICS,1980,1978,1
2011,Restaurant,Shark's Fish & Chicken,420 s clark st ,False,False,NARCOTICS,1980,1978,1
2011,Restaurant,Micky's Chicken & Fish,408 s clark st ,False,False,NARCOTICS,1980,1978,1
2011,Restaurant,Billy Goat Tavern & Grill,330 s wells st ,True,False,BATTERY,1945,439,1
2011,Restaurant,Lai Lai Oriental Express,330 s wells st ,False,False,BATTERY,1945,439,1
2011,Restaurant,Osaka Express,400 s michigan ave ,False,False,BATTERY,1926,433,1
2011,Restaurant,Artist's Cafe,412 s michigan ave ,False,True,BATTERY,1926,433,1
2011,Restaurant,South Water Kitchen,225 n wabash ave ,False,False,THEFT,1918,74,6
2011,Restaurant,Freshii,311 s wacker dr ,False,False,BATTERY,1907,424,1
2011,Restaurant,Pazzo's @ 311,311 s wacker dr ,False,False,BATTERY,1907,424,1
2011,Restaurant,Cellars Market,141 w jackson blvd ,False,False,THEFT,1903,138,7
2011,Restaurant,Ceres Cafe,141 w jackson blvd ,False,False,THEFT,1903,138,7
2011,Restaurant,65 Asian Kitchen,111 w jackson blvd ,False,False,THEFT,1903,138,7
2011,Restaurant,The Metropolitan Club,233 s wacker dr ,False,False,THEFT,1891,152,3
2011,Restaurant,Venice Cafe,233 s wacker dr ,False,False,THEFT,1891,152,3
2011,Restaurant,Currents on the River,200 s wacker dr ,False,False,THEFT,1891,152,3
2011,School,Guitar Chicago,150 n michigan ave ,False,False,BATTERY,1889,407,4
2011,Restaurant,Baja Fresh,180 n michigan ave ,False,False,BATTERY,1889,407,4
2011,Restaurant,Noodles & Company,180 n michigan ave ,False,False,BATTERY,1889,407,4
2011,School,Guitar Chicago,150 n michigan ave ,False,False,NARCOTICS,1869,1865,4
2011,Restaurant,Baja Fresh,180 n michigan ave ,False,False,NARCOTICS,1869,1865,4
2011,Restaurant,Noodles & Company,180 n michigan ave ,False,False,NARCOTICS,1869,1865,4
2011,Restaurant,Gina's Cuisine,424 s wabash ave ,False,False,BATTERY,1868,407,1
2011,Restaurant,Silk Road Jackson,216 w jackson blvd ,False,False,THEFT,1853,137,8
2011,Restaurant,Avanti Caff̩,200 w jackson blvd ,False,False,THEFT,1853,137,8
2011,Restaurant,Jimmy Johns,216 w jackson blvd ,False,False,THEFT,1853,137,8
2011,School,French Pastry School,226 w jackson blvd ,False,False,THEFT,1853,137,8
2011,Restaurant,Around the Corner,325 s franklin st ,False,False,THEFT,1842,136,2
2011,Restaurant,Pockets,329 s franklin st ,False,False,THEFT,1842,136,2
2011,Restaurant,I Dream Of Falafel,331 s franklin st ,False,False,THEFT,1842,136,2
2011,Restaurant,Petra Cafe,331 s franklin st ,False,False,THEFT,1842,136,2
2011,Restaurant,Quiznos,333 s franklin st ,False,False,THEFT,1842,136,2
2011,Restaurant,Pizzahut Express,225 s canal st ,False,False,THEFT,1832,164,7
2011,Restaurant,Burrito Beach,210 s canal st ,False,False,THEFT,1832,164,7
2011,Restaurant,Robinson's No 1 Ribs,225 s canal st ,False,False,THEFT,1832,164,7
2011,Restaurant,Nino Paninos,225 s canal st ,False,False,THEFT,1832,164,7
2011,Restaurant,Metro Deli & Cafe,210 s canal st ,True,False,THEFT,1832,164,7
2011,Restaurant,Chen's Chinese Express,201 n clark st ,False,False,THEFT,1823,90,2
2011,Restaurant,Toro Sushi Express,201 n clark st ,False,False,THEFT,1823,90,2
2011,Restaurant,Green Apple,201 n clark st ,False,False,THEFT,1823,90,2
2011,Restaurant,Jaffa Bakery,201 n clark st ,False,False,THEFT,1823,90,2
2011,Restaurant,Americana Submarine,400 s clark st ,True,False,THEFT,1820,101,3
2011,Restaurant,Coco's Famous Deep Fried Lobster,426 s clark st ,False,False,THEFT,1820,101,3
2011,Restaurant,Shark's Fish & Chicken,420 s clark st ,False,False,THEFT,1820,101,3
2011,Restaurant,Micky's Chicken & Fish,408 s clark st ,False,False,THEFT,1820,101,3
2011,Restaurant,Billy Goat Tavern & Grill,330 s wells st ,True,False,THEFT,1794,120,6
2011,Restaurant,Lai Lai Oriental Express,330 s wells st ,False,False,THEFT,1794,120,6
2011,Restaurant,Nicola's Pizzeria,400 s financial pl ,False,False,BATTERY,1793,387,1
2011,Restaurant,Bionda To Go,400 s financial pl ,False,False,BATTERY,1793,387,1
2011,Restaurant,Finkls Deli,400 s financial pl ,False,False,BATTERY,1793,387,1
2011,Restaurant,Skrine Chops,400 s financial pl ,False,False,BATTERY,1793,387,1
2011,Restaurant,Americana Submarine,400 s clark st ,True,False,BATTERY,1752,375,5
2011,Restaurant,Coco's Famous Deep Fried Lobster,426 s clark st ,False,False,BATTERY,1752,375,5
2011,Restaurant,Shark's Fish & Chicken,420 s clark st ,False,False,BATTERY,1752,375,5
2011,Restaurant,Micky's Chicken & Fish,408 s clark st ,False,False,BATTERY,1752,375,5
2011,Restaurant,Taza,176 n franklin st ,False,False,THEFT,1657,84,10
2011,Restaurant,Dagwood's Sandwich Factory,162 n franklin st ,False,False,THEFT,1657,84,10
2011,Restaurant,Goodwin's,175 n franklin st ,False,False,THEFT,1657,84,10
2011,Restaurant,Chickadilly's Charhouse,176 n franklin st ,False,False,THEFT,1657,84,10
2011,Restaurant,Mixed Greens,223 w lake st ,False,False,THEFT,1654,83,6
2011,Restaurant,Salad Spinners,223 w lake st ,False,False,THEFT,1654,83,6
2011,Restaurant,Pat's Pizzeria,628 s clark st ,False,False,NARCOTICS,1642,1640,1
2011,Restaurant,Villains Bar and Grill,649 s clark st ,False,False,NARCOTICS,1642,1640,1
2011,Restaurant,Rosie's Cafe & Catering,111 n canal st ,False,False,THEFT,1636,80,1
2011,Restaurant,Thai Spoon,601 s wabash ave ,False,False,THEFT,1631,92,7
2011,Restaurant,KFC & Pizza Hut Express,612 s wabash ave ,False,False,THEFT,1631,92,7
2011,Restaurant,Thai Spoon & Sushi,601 s wabash ave ,False,False,THEFT,1631,92,7
2011,Restaurant,Harold's Chicken Shack,636 s wabash ave ,False,False,THEFT,1631,92,7
2011,Restaurant,Tamarind,614 s wabash ave ,False,False,THEFT,1631,92,7
2011,Grocery,Bockwinkel's,222 n columbus dr ,True,False,BATTERY,1624,349,5
2011,Restaurant,Little Branch Cafe,1251 s prairie ave ,True,False,THEFT,1615,324,2
2011,Restaurant,Freshii,311 s wacker dr ,False,False,THEFT,1608,112,2
2011,Restaurant,Pazzo's @ 311,311 s wacker dr ,False,False,THEFT,1608,112,2
2011,Restaurant,Rosie's Cafe & Catering,111 n canal st ,False,False,BATTERY,1605,324,3
2011,Restaurant,Custom House Tavern,500 s dearborn st ,False,True,THEFT,1586,88,4
2011,Restaurant,Potbelly's Sandwich Works,542 s dearborn st ,False,False,THEFT,1586,88,4
2011,Restaurant,Custom House Tavern,500 s dearborn st ,False,True,BATTERY,1563,333,1
2011,Restaurant,Thai Spoon,601 s wabash ave ,False,False,NARCOTICS,1563,1561,3
2011,Restaurant,KFC & Pizza Hut Express,612 s wabash ave ,False,False,NARCOTICS,1563,1561,3
2011,Restaurant,Thai Spoon & Sushi,601 s wabash ave ,False,False,NARCOTICS,1563,1561,3
2011,Restaurant,Harold's Chicken Shack,636 s wabash ave ,False,False,NARCOTICS,1563,1561,3
2011,Restaurant,Tamarind,614 s wabash ave ,False,False,NARCOTICS,1563,1561,3
2011,Restaurant,Potbelly's Sandwich Works,542 s dearborn st ,False,False,BATTERY,1563,333,1
2011,Restaurant,Wow Bao,225 n michigan ave ,False,False,BATTERY,1557,332,4
2011,Restaurant,Bennigan's,225 n michigan ave ,False,False,BATTERY,1557,332,4
2011,Restaurant,Wow Bow,225 n michigan ave ,False,False,BATTERY,1557,332,4
2011,Restaurant,Ponte Fresco,225 n michigan ave ,False,False,BATTERY,1557,332,4
2011,Restaurant,Alonti Cafe,225 n michigan ave ,False,False,BATTERY,1557,332,4
2011,School,G Skin and Beauty Institute,200 n michigan ave ,False,False,BATTERY,1557,332,4
2011,Restaurant,China Grill,230 n michigan ave ,True,True,BATTERY,1557,332,4
2011,Restaurant,Vista Carry Out,233 n michigan ave ,False,False,BATTERY,1557,332,4
2011,Restaurant,The Great Steak & Potato Company,233 n michigan ave ,False,False,BATTERY,1557,332,4
2011,Restaurant,Fresh Choice,233 n michigan ave ,False,False,BATTERY,1557,332,4
2011,Grocery,Rise N Roll Amish Market,233 n michigan ave ,False,False,BATTERY,1557,332,4
2011,Restaurant,Yolk,1120 s michigan ave ,False,False,THEFT,1527,210,9
2011,Restaurant,Trattoria Caterina,616 s dearborn st ,False,False,THEFT,1516,84,1
2011,Restaurant,Standing Room Only,610 s dearborn st ,False,False,THEFT,1516,84,1
2011,Restaurant,Amarit Thai Restaurant,600 s dearborn st ,False,False,THEFT,1516,84,1
2011,Restaurant,Taste of Siam Inc,600 s dearborn st ,False,False,THEFT,1516,84,1
2011,Restaurant,Buddy Guy's Legends,700 s wabash ave ,False,False,THEFT,1505,76,4
2011,Restaurant,Jimmy John's,1250 s michigan ave ,False,False,THEFT,1504,286,6
